"id","created_time","type","availability","quality_percent","made","defected","proiz_vobez_raboti","planned","all_stopped_time","all_working_time","stop_not_planned","stop_planned","all_time"
1,"2020-07-01","SAW1","93.82","90.57",3363,317,0,88166,"89.58",1360,89,0,1450
2,"2020-07-01","SAW2","80.42","97.03",9161,272,0,138964,"281.97",1158,281,0,1440
3,"2020-07-01","SAW3","100","94.85",2078,107,0,100800,"0",1440,0,0,1440
4,"2020-07-02","SAW1","92.21","87.22",2739,350,0,31988,"112.2",1327,112,0,1440
5,"2020-07-02","SAW2","88.81","98.65",13035,176,0,1331,"161.1",1278,161,0,1440
6,"2020-07-02","SAW3","99.99","97.67",1978,46,0,8648,"0.18",1439,0,0,1440
7,"2020-07-03","SAW1","98.25","95.86",1741,72,0,43015,"25.25",1420,25,0,1446
8,"2020-07-03","SAW2","38.95","97.89",3691,78,0,449,"879.63",561,879,0,1440
9,"2020-07-03","SAW3","100","86.51",986,133,0,140219,"0",1440,0,0,1440
10,"2020-07-04","SAW1","75.18","96.38",580,21,0,39107,"358.7",1086,358,0,1445
11,"2020-07-04","SAW2","79.71","98.56",4097,59,0,124309,"340.47",1103,281,59,1444
12,"2020-07-04","SAW3","99.72","97.56",1764,43,0,162747,"4",1436,4,0,1440
13,"2020-07-05","SAW1","98.46","96.46",1496,53,0,53033,"22.2",1417,22,0,1440
14,"2020-07-05","SAW2","61.26","97.25",7989,220,0,1395,"557.88",882,557,0,1440
15,"2020-07-05","SAW3","100","99.41",2188,13,0,163769,"0",1445,0,0,1445
16,"2020-07-06","SAW1","100","100",224,0,0,58014,"0",1450,0,0,1450
17,"2020-07-06","SAW2","88.57","94.5",8043,442,0,1152,"217.5",1222,157,59,1440
18,"2020-07-06","SAW3","99.85","98.22",2635,47,0,44440,"2.22",1437,2,0,1440
19,"2020-07-07","SAW1","96.54","69.5",1682,513,0,55606,"49.85",1390,49,0,1440
20,"2020-07-07","SAW2","71.39","95.91",8988,368,0,1420,"496.82",943,377,118,1440
21,"2020-07-07","SAW3","100","97.97",985,20,0,42000,"0",1440,0,0,1440
22,"2020-07-08","SAW1","99.99","59.64",1239,500,0,54474,"0.1",1439,0,0,1440
23,"2020-07-08","SAW2","67.45","95.41",9182,421,0,19908,"487.88",952,459,28,1440
24,"2020-07-08","SAW3","100","98.14",1669,31,0,42000,"0",1440,0,0,1440
25,"2020-07-09","SAW1","99.55","96.1",2104,82,0,53925,"6.45",1433,6,0,1440
26,"2020-07-09","SAW2","87.97","97.76",13685,306,0,918,"300.47",1139,155,144,1440
27,"2020-07-09","SAW3","100","99.24",2380,18,0,41998,"0.07",1439,0,0,1440
28,"2020-07-10","SAW1","95.1","98.97",4357,45,0,54776,"70.6",1369,70,0,1440
29,"2020-07-10","SAW2","88.86","97.51",4615,115,0,1201,"555.23",884,110,444,1440
30,"2020-07-10","SAW3","100","95.68",1065,46,0,42000,"0",1440,0,0,1440
31,"2020-07-11","SAW1","99.91","100",4467,0,0,57548,"1.3",1438,1,0,1440
32,"2020-07-11","SAW2","96.07","100",371,0,0,451,"425.2",1014,41,383,1440
